filename,duration_sec,sample_rate,channels
Yali Good News 001 Picture 1 In the Beginning 31721_001.wav,15.0,16000,1
Yali Good News 001 Picture 1 In the Beginning 31721_002.wav,15.0,16000,1
Yali Good News 001 Picture 1 In the Beginning 31721_003.wav,15.0,16000,1
Yali Good News 001 Picture 1 In the Beginning 31721_004.wav,15.0,16000,1
Yali Good News 001 Picture 1 In the Beginning 31721_005.wav,14.126,16000,1
Yali Good News 002 Picture 2 The Word of God 31721_001.wav,15.0,16000,1
Yali Good News 002 Picture 2 The Word of God 31721_002.wav,15.0,16000,1
Yali Good News 002 Picture 2 The Word of God 31721_003.wav,9.419,16000,1
Yali Good News 003 Picture 3 Creation 31721_001.wav,15.0,16000,1
Yali Good News 003 Picture 3 Creation 31721_002.wav,8.077,16000,1
Yali Good News 004 Picture 4 Adam and Eve 31721_001.wav,15.0,16000,1
Yali Good News 004 Picture 4 Adam and Eve 31721_002.wav,15.0,16000,1
Yali Good News 004 Picture 4 Adam and Eve 31721_003.wav,15.0,16000,1
Yali Good News 004 Picture 4 Adam and Eve 31721_004.wav,15.0,16000,1
Yali Good News 004 Picture 4 Adam and Eve 31721_005.wav,15.0,16000,1
Yali Good News 004 Picture 4 Adam and Eve 31721_006.wav,14.122,16000,1
Yali Good News 005 Picture 5 Cain and Abel 31721_001.wav,15.0,16000,1
Yali Good News 005 Picture 5 Cain and Abel 31721_002.wav,15.0,16000,1
Yali Good News 005 Picture 5 Cain and Abel 31721_003.wav,15.0,16000,1
Yali Good News 005 Picture 5 Cain and Abel 31721_004.wav,15.0,16000,1
Yali Good News 005 Picture 5 Cain and Abel 31721_005.wav,12.295,16000,1
Yali Good News 006 Picture 6 Noah's Ark 31721_001.wav,15.0,16000,1
Yali Good News 006 Picture 6 Noah's Ark 31721_002.wav,15.0,16000,1
Yali Good News 006 Picture 6 Noah's Ark 31721_003.wav,15.0,16000,1
Yali Good News 006 Picture 6 Noah's Ark 31721_004.wav,15.0,16000,1
Yali Good News 006 Picture 6 Noah's Ark 31721_005.wav,15.0,16000,1
Yali Good News 006 Picture 6 Noah's Ark 31721_006.wav,12.058,16000,1
Yali Good News 007 Picture 7 The Flood 31721_001.wav,15.0,16000,1
Yali Good News 007 Picture 7 The Flood 31721_002.wav,15.0,16000,1
Yali Good News 007 Picture 7 The Flood 31721_003.wav,15.0,16000,1
Yali Good News 007 Picture 7 The Flood 31721_004.wav,15.0,16000,1
Yali Good News 007 Picture 7 The Flood 31721_005.wav,15.0,16000,1
Yali Good News 008 Picture 8 Abraham Sarah and Isaac 31721_001.wav,15.0,16000,1
Yali Good News 008 Picture 8 Abraham Sarah and Isaac 31721_002.wav,15.0,16000,1
Yali Good News 008 Picture 8 Abraham Sarah and Isaac 31721_003.wav,15.0,16000,1
Yali Good News 008 Picture 8 Abraham Sarah and Isaac 31721_004.wav,14.571,16000,1
Yali Good News 009 Picture 9 Moses and the Law of God 31721_001.wav,15.0,16000,1
Yali Good News 009 Picture 9 Moses and the Law of God 31721_002.wav,15.0,16000,1
Yali Good News 009 Picture 9 Moses and the Law of God 31721_003.wav,15.0,16000,1
Yali Good News 009 Picture 9 Moses and the Law of God 31721_004.wav,15.0,16000,1
Yali Good News 010 Picture 10 The Ten Commandments 31721_001.wav,15.0,16000,1
Yali Good News 010 Picture 10 The Ten Commandments 31721_002.wav,15.0,16000,1
Yali Good News 010 Picture 10 The Ten Commandments 31721_003.wav,15.0,16000,1
Yali Good News 010 Picture 10 The Ten Commandments 31721_004.wav,15.0,16000,1
Yali Good News 010 Picture 10 The Ten Commandments 31721_005.wav,9.335,16000,1
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_001.wav,15.0,16000,1
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_002.wav,15.0,16000,1
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_003.wav,15.0,16000,1
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_004.wav,15.0,16000,1
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_005.wav,15.0,16000,1
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_006.wav,15.0,16000,1
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_007.wav,8.196,16000,1
Yali Good News 012 Picture 12 A Saviour Promised 31721_001.wav,15.0,16000,1
Yali Good News 012 Picture 12 A Saviour Promised 31721_002.wav,15.0,16000,1
Yali Good News 012 Picture 12 A Saviour Promised 31721_003.wav,15.0,16000,1
Yali Good News 012 Picture 12 A Saviour Promised 31721_004.wav,15.0,16000,1
Yali Good News 012 Picture 12 A Saviour Promised 31721_005.wav,15.0,16000,1
Yali Good News 012 Picture 12 A Saviour Promised 31721_006.wav,15.0,16000,1
Yali Good News 012 Picture 12 A Saviour Promised 31721_007.wav,9.199,16000,1
Yali Good News 013 Picture 13 The Birth of Jesus 31721_001.wav,15.0,16000,1
Yali Good News 013 Picture 13 The Birth of Jesus 31721_002.wav,15.0,16000,1
Yali Good News 013 Picture 13 The Birth of Jesus 31721_003.wav,15.0,16000,1
Yali Good News 013 Picture 13 The Birth of Jesus 31721_004.wav,12.071,16000,1
Yali Good News 014 Picture 14 Jesus the Teacher 31721_001.wav,15.0,16000,1
Yali Good News 014 Picture 14 Jesus the Teacher 31721_002.wav,15.0,16000,1
Yali Good News 014 Picture 14 Jesus the Teacher 31721_003.wav,15.0,16000,1
Yali Good News 014 Picture 14 Jesus the Teacher 31721_004.wav,15.0,16000,1
Yali Good News 014 Picture 14 Jesus the Teacher 31721_005.wav,11.761,16000,1
Yali Good News 015 Picture 15 Miracles of Jesus 31721_001.wav,15.0,16000,1
Yali Good News 015 Picture 15 Miracles of Jesus 31721_002.wav,15.0,16000,1
Yali Good News 015 Picture 15 Miracles of Jesus 31721_003.wav,11.383,16000,1
Yali Good News 016 Picture 16 Jesus Suffers 31721_001.wav,15.0,16000,1
Yali Good News 016 Picture 16 Jesus Suffers 31721_002.wav,15.0,16000,1
