path,filename,duration_sec,sample_rate
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 001 Picture 1 In the Beginning 31721_001.wav,Yali Good News 001 Picture 1 In the Beginning 31721_001.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 005 Picture 5 Cain and Abel 31721_003.wav,Yali Good News 005 Picture 5 Cain and Abel 31721_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 006 Picture 6 Noah's Ark 31721_002.wav,Yali Good News 006 Picture 6 Noah's Ark 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 006 Picture 6 Noah's Ark 31721_003.wav,Yali Good News 006 Picture 6 Noah's Ark 31721_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 006 Picture 6 Noah's Ark 31721_004.wav,Yali Good News 006 Picture 6 Noah's Ark 31721_004.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 007 Picture 7 The Flood 31721_002.wav,Yali Good News 007 Picture 7 The Flood 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 007 Picture 7 The Flood 31721_003.wav,Yali Good News 007 Picture 7 The Flood 31721_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 007 Picture 7 The Flood 31721_004.wav,Yali Good News 007 Picture 7 The Flood 31721_004.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 008 Picture 8 Abraham Sarah and Isaac 31721_002.wav,Yali Good News 008 Picture 8 Abraham Sarah and Isaac 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 008 Picture 8 Abraham Sarah and Isaac 31721_003.wav,Yali Good News 008 Picture 8 Abraham Sarah and Isaac 31721_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 009 Picture 9 Moses and the Law of God 31721_002.wav,Yali Good News 009 Picture 9 Moses and the Law of God 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 010 Picture 10 The Ten Commandments 31721_002.wav,Yali Good News 010 Picture 10 The Ten Commandments 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 010 Picture 10 The Ten Commandments 31721_003.wav,Yali Good News 010 Picture 10 The Ten Commandments 31721_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 011 Picture 11 Sacrifice for Sin 31721_002.wav,Yali Good News 011 Picture 11 Sacrifice for Sin 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 011 Picture 11 Sacrifice for Sin 31721_003.wav,Yali Good News 011 Picture 11 Sacrifice for Sin 31721_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 011 Picture 11 Sacrifice for Sin 31721_004.wav,Yali Good News 011 Picture 11 Sacrifice for Sin 31721_004.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 012 Picture 12 A Saviour Promised 31721_002.wav,Yali Good News 012 Picture 12 A Saviour Promised 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 013 Picture 13 The Birth of Jesus 31721_004.wav,Yali Good News 013 Picture 13 The Birth of Jesus 31721_004.wav,12.071,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 014 Picture 14 Jesus the Teacher 31721_002.wav,Yali Good News 014 Picture 14 Jesus the Teacher 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 014 Picture 14 Jesus the Teacher 31721_003.wav,Yali Good News 014 Picture 14 Jesus the Teacher 31721_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 026 Picture 26 Walking in the Light 31721_002.wav,Yali Good News 026 Picture 26 Walking in the Light 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_002.wav,Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 034 Picture 34 Sickness 31721_005.wav,Yali Good News 034 Picture 34 Sickness 31721_005.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali Good News 040 Picture 40 Witnessing 31721_007.wav,Yali Good News 040 Picture 40 Witnessing 31721_007.wav,14.548,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_003.wav,Yali LLL 7 JESUS - Lord Saviour 002 Picture 1 The Birth of Jesus 65173_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_004.wav,Yali LLL 7 JESUS - Lord Saviour 005 Picture 4 A Ruler Kneels before Jesus 65173_004.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 019 Picture 18 The Friend at the Door 65173_007.wav,Yali LLL 7 JESUS - Lord Saviour 019 Picture 18 The Friend at the Door 65173_007.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_003.wav,Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_003.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_004.wav,Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_004.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_005.wav,Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_005.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_006.wav,Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_006.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_007.wav,Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_007.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_008.wav,Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_008.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_009.wav,Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_009.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 023 Picture 22 Help for an Injured Man 65173_002.wav,Yali LLL 7 JESUS - Lord Saviour 023 Picture 22 Help for an Injured Man 65173_002.wav,15.0,16000
D:\Document\Kuliah\Magang\yali_accent\data\processed\training_candidate\Yali LLL 7 JESUS - Lord Saviour 023 Picture 22 Help for an Injured Man 65173_003.wav,Yali LLL 7 JESUS - Lord Saviour 023 Picture 22 Help for an Injured Man 65173_003.wav,15.0,16000
